history	Lich su
way	đường
art	Nghe thuat
world	The gioi
information	Thong tin
map	Ban do
two	Hai
family	Gia dinh
government	Chinh phu
health	Suc khoe
system	Hệ thống
computer	May tinh
meat	Thit
year	Nam
thanks	Loi cam on
music	Am nhac
person	Nguoi
reading	Cach đoc
method	Phuong phap
data	Du lieu
food	Thuc ăn
understanding	Hieu biet
theory	Ly thuyet
law	Phap luat
bird	Chim
literature	Van chuong
problem	Van đe
software	Phan mem
control	Kiem soat
people	nguoi
hi	xin chao
what	cai gi
who	ai_do
